,year,statefip,state_male_ratio,state_log_avg_income,state_log_med_income,state_med_income,state_some_college,state_bs_college,state_below_poverty,state_log_population,state_population,state_black_race,state_hispanic,county_fips,countyf_ipeds
29,1996,33,0.4896345414932698,10.966561723420567,10.803401133721843,49780.0,0.3989655256521346,0.18482833583331124,0.08221226267491749,13.969481165171016,1168985.0,0.006524219421916256,0.01508191951707643,-1000,-1000
29,1997,33,0.4893224616644073,11.003129444876306,10.83538076507718,51310.0,0.40437031855988764,0.18769156483821262,0.08467090053625351,13.982979138385435,1184530.5,0.006595208237198348,0.015520048218121772,-1000,-1000
29,1998,33,0.48901038183554485,11.039697166332047,10.867360396432517,52840.0,0.40977511146764073,0.190554793843114,0.08712953839758951,13.996477111599852,1200076.0,0.00666619705248044,0.015958176919167115,-1000,-1000
29,1999,33,0.48869830200668235,11.076264887787787,10.899340027787854,54370.0,0.41517990437539376,0.1934180228480154,0.08958817625892551,14.00997508481427,1215621.5,0.006737185867762532,0.016396305620212454,-1000,-1000
80,2000,33,0.4883862221778199,11.112832609243528,10.93131965914319,55900.0,0.4205846972831468,0.19628125185291678,0.09204681412026151,14.023473058028689,1231167.0,0.006808174683044624,0.016834434321257797,-1000,-1000
131,2001,33,0.4904471962706307,11.176414499416229,11.06663836234181,64000.0,0.42515908850591266,0.20257588915134203,0.06542548629919713,13.998715890779796,1201061.0,0.0072744015499629075,0.01604331503562267,-1000,-1000
182,2002,33,0.49242066218110186,11.24582155052605,11.082142548877775,65000.0,0.41216689159451925,0.20956048935206162,0.07025706736304979,14.023748368638048,1231506.0,0.008796546667251317,0.019160280177278877,-1000,-1000
233,2003,33,0.48950003398047254,11.211378864199148,11.091711999893924,65625.0,0.4364103999663432,0.20951145789172204,0.08291478021106728,14.027394153240492,1236004.0,0.008796088038550037,0.020199772816269203,-1000,-1000
284,2004,33,0.49835145678060305,11.25355020552156,11.127262984158243,68000.0,0.43717938726204003,0.22688942577863827,0.08170359037044025,14.013504492277503,1218955.0,0.007819812872501447,0.018378036925071065,-1000,-1000
335,2005,33,0.48538392207329006,11.27134062948197,11.134589024250317,68500.0,0.4347694764560248,0.2189568000308468,0.08017354534076869,14.03453523836387,1244862.0,0.009474945817287379,0.018457467574719125,-1000,-1000
386,2006,33,0.4909377642137157,11.291828178400605,11.1672611099801,70775.0,0.4478416587828175,0.22811563956613162,0.10547018647791527,14.056607184069192,1272644.0,0.009299537026851185,0.025005421783310965,-1000,-1000
437,2007,33,0.4951630044851652,11.356317227619867,11.225243392518447,75000.0,0.4500796126413364,0.2261927508373715,0.10356703000725147,14.080321826074817,1303185.0,0.007737965062519903,0.02695703219420113,-1000,-1000
488,2008,33,0.48729801922823857,11.37692008303081,11.251560700835821,77000.0,0.4703507579786108,0.23571330177622257,0.10347510433316429,14.07744626907743,1299443.0,0.008024976855468074,0.03279559011053197,-1000,-1000
539,2009,33,0.4835754533765188,11.353839735898045,11.202315887874743,73300.0,0.473931733294816,0.2359771596516486,0.11416641677512744,14.057582629163873,1273886.0,0.011126584325441995,0.03006077466900492,-1000,-1000
590,2010,33,0.48541018737207964,11.36791899720475,11.225243392518447,75000.0,0.48273399777553383,0.24401214220129014,0.11031986209241082,14.068910920282406,1288399.0,0.013316526945457114,0.027734420781140003,-1000,-1000
641,2011,33,0.4898482374523439,11.379403692401613,11.225243392518447,75000.0,0.49081241249316426,0.24467396068058503,0.11633163587848136,14.069520793733174,1289185.0,0.01001020024278905,0.026642413617905886,-1000,-1000
692,2012,33,0.4891478709019246,11.406363511864761,11.238488619268468,76000.0,0.49790873061231156,0.2592069894040796,0.12228346866906002,14.067094616558327,1286061.0,0.012183714458334402,0.027443488294878703,-1000,-1000
743,2013,33,0.48725096505489485,11.4149461542605,11.247526600758905,76690.0,0.49647871339350774,0.2567888543757747,0.11788250374903725,14.07761863577261,1299667.0,0.011983838937204684,0.03249293857580442,-1000,-1000
794,2014,33,0.49083337915417563,11.46990174760891,11.302204433654575,81000.0,0.507328882387062,0.2642370519980081,0.1192036311791342,14.071129818256757,1291261.0,0.012776657856157662,0.034054308153038,-1000,-1000
30,1990,34,0.4780391642141325,10.930255874579897,10.79170797381519,48616.0,0.3459915611814346,0.17671716952094166,0.07803586624223896,15.833046509300198,7519773.0,0.130363775608652,0.09419406676238765,-1000,-1000
30,1991,34,0.4784032011760489,10.967099871672458,10.82075143132145,50254.4,0.3504484791279073,0.1798606445636964,0.08087196416607485,15.844159991777653,7608164.6,0.13070388068535227,0.09801300100999792,-1000,-1000
30,1992,34,0.4787672381379653,11.003943868765017,10.849794888827708,51892.8,0.35490539707437996,0.1830041196064512,0.08370806208991075,15.855273474255108,7696556.2,0.13104398576205256,0.1018319352576082,-1000,-1000
30,1993,34,0.4791312750998816,11.040787865857578,10.878838346333966,53531.2,0.35936231502085264,0.18614759464920594,0.08654416001374664,15.866386956732564,7784947.8,0.13138409083875285,0.10565086950521846,-1000,-1000
30,1994,34,0.479495312061798,11.077631862950138,10.907881803840224,55169.6,0.3638192329673253,0.18929106969196072,0.08938025793758253,15.877500439210019,7873339.4,0.13172419591545312,0.10946980375282873,-1000,-1000
30,1995,34,0.4798593490237144,11.114475860042699,10.936925261346483,56808.0,0.36827615091379806,0.19243454473471547,0.09221635586141841,15.888613921687476,7961731.0,0.13206430099215338,0.11328873800043901,-1000,-1000
30,1996,34,0.4802233859856308,11.151319857135258,10.965968718852741,58446.4,0.37273306886027074,0.19557801977747025,0.09505245378525431,15.899727404164931,8050122.6,0.13240440606885368,0.11710767224804929,-1000,-1000
30,1997,34,0.4805874229475472,11.188163854227819,10.995012176359,60084.8,0.3771899868067434,0.198721494820225,0.0978885517090902,15.910840886642386,8138514.2,0.13274451114555397,0.12092660649565956,-1000,-1000
30,1998,34,0.48095145990946353,11.22500785132038,11.024055633865258,61723.2,0.3816469047532161,0.20186496986297975,0.10072464963292609,15.921954369119842,8226905.8,0.13308461622225423,0.12474554074326982,-1000,-1000
30,1999,34,0.4813154968713799,11.261851848412938,11.053099091371516,63361.6,0.3861038226996888,0.20500844490573453,0.10356074755676198,15.933067851597297,8315297.4,0.1334247212989545,0.1285644749908801,-1000,-1000
81,2000,34,0.4816795338332963,11.298695845505499,11.082142548877775,65000.0,0.3905607406461615,0.20815191994848928,0.10639684548059787,15.944181334074752,8403689.0,0.1337648263756548,0.13238340923849037,-1000,-1000
132,2001,34,0.4788961072867677,11.342219304954867,11.156250521031495,70000.0,0.39419463725881787,0.2194097404509737,0.08433620219497341,15.912206507494945,8139233.0,0.13542086828083186,0.1405894142605329,-1000,-1000
