state,fips,year,unemployment,state_full
DC,11,2002,6.4,District of Columbia
FL,12,2002,5.6,Florida
GA,13,2002,5,Georgia
HI,15,2002,4.2,Hawaii
ID,16,2002,5.6,Idaho
IL,17,2002,6.5,Illinois
IN,18,2002,5.2,Indiana
IA,19,2002,4,Iowa
KS,20,2002,5.1,Kansas
KY,21,2002,5.7,Kentucky
LA,22,2002,6.1,Louisiana
ME,23,2002,4.3,Maine
MD,24,2002,4.4,Maryland
MA,25,2002,5.3,Massachusetts
MI,26,2002,6.3,Michigan
MN,27,2002,4.5,Minnesota
MS,28,2002,6.6,Mississippi
MO,29,2002,5.4,Missouri
MT,30,2002,4.4,Montana
NE,31,2002,3.6,Nebraska
NV,32,2002,5.6,Nevada
NH,33,2002,4.5,New Hampshire
NJ,34,2002,5.8,New Jersey
NM,35,2002,5.5,New Mexico
NY,36,2002,6.1,New York
NC,37,2002,6.6,North Carolina
ND,38,2002,3.7,North Dakota
OH,39,2002,5.7,Ohio
OK,40,2002,4.7,Oklahoma
OR,41,2002,7.5,Oregon
PA,42,2002,5.6,Pennsylvania
RI,44,2002,5,Rhode Island
SC,45,2002,5.8,South Carolina
SD,46,2002,3.2,South Dakota
TN,47,2002,5.2,Tennessee
TX,48,2002,6.4,Texas
UT,49,2002,5.8,Utah
VT,50,2002,4,Vermont
VA,51,2002,4.2,Virginia
WA,53,2002,7.4,Washington
WV,54,2002,5.9,West Virginia
WI,55,2002,5.4,Wisconsin
WY,56,2002,4,Wyoming
AL,1,2003,6,Alabama
AK,2,2003,7.8,Alaska
AZ,4,2003,5.7,Arizona
AR,5,2003,5.9,Arkansas
CA,6,2003,6.8,California
CO,8,2003,6,Colorado
CT,9,2003,5.4,Connecticut
DE,10,2003,4.3,Delaware
DC,11,2003,6.8,District of Columbia
FL,12,2003,5.2,Florida
GA,13,2003,4.8,Georgia
HI,15,2003,4.1,Hawaii
ID,16,2003,5.6,Idaho
IL,17,2003,6.8,Illinois
IN,18,2003,5.3,Indiana
IA,19,2003,4.5,Iowa
KS,20,2003,5.5,Kansas
KY,21,2003,6.1,Kentucky
LA,22,2003,6.4,Louisiana
ME,23,2003,5,Maine
MD,24,2003,4.4,Maryland
MA,25,2003,5.7,Massachusetts
MI,26,2003,7.2,Michigan
MN,27,2003,4.9,Minnesota
MS,28,2003,6.3,Mississippi
MO,29,2003,5.6,Missouri
MT,30,2003,4.7,Montana
NE,31,2003,3.9,Nebraska
NV,32,2003,5.1,Nevada
NH,33,2003,4.3,New Hampshire
NJ,34,2003,5.8,New Jersey
NM,35,2003,5.9,New Mexico
NY,36,2003,6.4,New York
NC,37,2003,6.4,North Carolina
ND,38,2003,3.7,North Dakota
OH,39,2003,6.2,Ohio
OK,40,2003,5.5,Oklahoma
OR,41,2003,8.1,Oregon
PA,42,2003,5.7,Pennsylvania
RI,44,2003,5.3,Rhode Island
SC,45,2003,6.9,South Carolina
SD,46,2003,3.5,South Dakota
TN,47,2003,5.6,Tennessee
TX,48,2003,6.7,Texas
UT,49,2003,5.6,Utah
VT,50,2003,4.3,Vermont
VA,51,2003,4.1,Virginia
WA,53,2003,7.4,Washington
WV,54,2003,6,West Virginia
WI,55,2003,5.7,Wisconsin
WY,56,2003,4.3,Wyoming
AL,1,2004,5.7,Alabama
AK,2,2004,7.5,Alaska
AZ,4,2004,5,Arizona
AR,5,2004,5.7,Arkansas
CA,6,2004,6.2,California
CO,8,2004,5.5,Colorado
CT,9,2004,5,Connecticut
DE,10,2004,4,Delaware
DC,11,2004,7.8,District of Columbia
FL,12,2004,4.6,Florida
GA,13,2004,4.8,Georgia
HI,15,2004,3.4,Hawaii
ID,16,2004,4.9,Idaho
IL,17,2004,6.2,Illinois
IN,18,2004,5.4,Indiana
IA,19,2004,4.5,Iowa
KS,20,2004,5.5,Kansas
KY,21,2004,5.4,Kentucky
LA,22,2004,5.9,Louisiana
ME,23,2004,4.6,Maine
MD,24,2004,4.3,Maryland
MA,25,2004,5.1,Massachusetts
MI,26,2004,7,Michigan
MN,27,2004,4.7,Minnesota
MS,28,2004,6.2,Mississippi
MO,29,2004,5.9,Missouri
MT,30,2004,4.8,Montana
NE,31,2004,3.9,Nebraska
NV,32,2004,4.3,Nevada
NH,33,2004,3.8,New Hampshire
NJ,34,2004,4.8,New Jersey
NM,35,2004,5.5,New Mexico
NY,36,2004,5.8,New York
NC,37,2004,5.5,North Carolina
ND,38,2004,3.4,North Dakota
OH,39,2004,6.3,Ohio
OK,40,2004,4.9,Oklahoma
OR,41,2004,7.3,Oregon
PA,42,2004,5.4,Pennsylvania
RI,44,2004,5.2,Rhode Island
SC,45,2004,6.8,South Carolina
SD,46,2004,3.7,South Dakota
TN,47,2004,5.3,Tennessee
TX,48,2004,5.9,Texas
UT,49,2004,5,Utah
VT,50,2004,3.7,Vermont
VA,51,2004,3.8,Virginia
WA,53,2004,6.3,Washington
WV,54,2004,5.3,West Virginia
WI,55,2004,5,Wisconsin
WY,56,2004,3.8,Wyoming
AL,1,2005,4.5,Alabama
AK,2,2005,6.9,Alaska
AZ,4,2005,4.7,Arizona
AR,5,2005,5.2,Arkansas
CA,6,2005,5.4,California
CO,8,2005,5,Colorado
CT,9,2005,4.9,Connecticut
DE,10,2005,4.1,Delaware
DC,11,2005,6.4,District of Columbia
FL,12,2005,3.7,Florida
GA,13,2005,5.3,Georgia
HI,15,2005,2.9,Hawaii
ID,16,2005,4,Idaho
IL,17,2005,5.7,Illinois
